sentimen,comment
"1,""Mulai Malam Ini! Ada 35 Jalan di Kota Bandung Ditutup Selama Long Weekend. Ini Daftar Lengkapnya#bandung #ppkmmikro #longweekend https://t.co/wKuwOOpiXF"""
1,RT @diskominfo_grob: Perpanjangan Pemberlakuan Pembatasan Kegiatan Masyarakat mulai 9 s/d 22 Maret 2021#ppkmmikro#ppkm2021 #BersatuMelawanCovid19 https://t.co/1bpC6eIBfC
1,Pemerintah menetapkan beberapa wilayah prioritas penerapan PPKM mikro di tujuh provinsi #Ppkmmikro https://t.co/0YFWkqKHus
1,Perpanjangan Pemberlakuan Pembatasan Kegiatan Masyarakat mulai 9 s/d 22 Maret 2021#ppkmmikro#ppkm2021 #BersatuMelawanCovid19 https://t.co/1bpC6eIBfC
"1,""RT @arjuna16sp: Sebagai Mitra. #PendampingDesa mendampingi Tim Posko Desa Aman Covid19𝗣𝗼𝘀𝗸𝗼 𝗡𝗮𝗴𝗼𝗿𝗶 𝗔𝗺𝗮𝗻 𝗖𝗼𝘃𝗶𝗱𝟭𝟵 𝗡𝗮𝗴𝗼𝗿𝗶 𝗣𝗲𝗺𝗮𝘁𝗮𝗻𝗴 𝗔𝘀𝗶𝗹𝘂𝗺 𝟮𝟬𝟮𝟭@halimiskandarnu @taufikmadjid71@yusradaridesa @tppkemendes#𝑃𝑃𝐾𝑀𝑀𝑖𝑘𝑟𝑜 https://t.co/cuA4CRHmp"""
1,PPKM mikro diperluas hingga luar kota #PPKM #ppkmmikro https://t.co/zsbonITaRl
"1,""Sebagai Mitra. #PendampingDesa mendampingi Tim Posko Desa Aman Covid19𝗣𝗼𝘀𝗸𝗼 𝗡𝗮𝗴𝗼𝗿𝗶 𝗔𝗺𝗮𝗻 𝗖𝗼𝘃𝗶𝗱𝟭𝟵 𝗡𝗮𝗴𝗼𝗿𝗶 𝗣𝗲𝗺𝗮𝘁𝗮𝗻𝗴 𝗔𝘀𝗶𝗹𝘂𝗺 𝟮𝟬𝟮𝟭@halimiskandarnu @taufikmadjid71@yusradaridesa @tppkemendes#𝑃𝑃𝐾𝑀𝑀𝑖𝑘𝑟𝑜 https://t.co/cuA4CRHmpJ"""
1,pencegahan penularan Covid-19 harus dilaksanakan dr lingkungan terkecil.Realisasikan posko tanggap corona di setiap desa/kelurahan.#LawanCovid19 #PPKMMikro#1JutaVaksinasiAman https://t.co/iOn35iGQzq
1,Jam Operasional Usaha Perdagangan Diperpanjang https://t.co/6kt1D3bizb #PPKMMikro #berita #nusabali
"1,""#Masker_KU_melindungi_MU#Masker_MU_melindungi_KU    PPKM MIKRO dan Pembentukan Posko penanganan Covid_19 mulai tingkat Desa. Kelurahan. RT/RW dalam rangka upaya memutus penyebaran Covid_19#polrestulungagung #pidpolsekngunut #polripresisi #ppkmmikro #guyubrukun https://t.co/WuRldTUZi3"""
"1,""6 Daerah di Sumut Terapkan PPKM Mikro. Termasuk Pematangsiantar dan Simalungun#PPKM #PPKMMikro #Sumut https://t.co/4wvzLJ8p4I"""
1,@restulungagung Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat. . #ppkmmikro #protokolkesehatan #polrestulungagung #guyubrukun #akbphandonosubiakto01
1,@restulungagung Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat. . #ppkmmikro #protokolkesehatan #polrestulungagung #guyubrukun #akbphandonosubiakto01 https://t.co/mStQaWsIuf
1,Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat. . #ppkmmikro #protokolkesehatan #polrestulungagung #guyubrukun #akbphandonosubiakto01 https://t.co/pAh0sASP9W
1,Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat. . #ppkmmikro #protokolkesehatan #polrestulungagung #guyubrukun #akbphandonosubiakto01 https://t.co/M020NdO6r6
"1,""RT @humas_jogja: Berdasarkan Instruksi Gubernur Daerah Istimewa Yogyakarta Nomor: 7/INSTR/2021. diberlakukan perpanjangan PPKM Mikro DIY mulai 9 Maret hingga 22 Maret 2021.  #PPKMMikro #PTKM #JogjaIstimewa #InstruksiGubernur https://t.co/saiXMHz1S9"""
1,Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat. . #ppkmmikro #protokolkesehatan #polrestulungagung #guyubrukun #akbphandonosubiakto01 https://t.co/LcG8qek9Uu
1,Pemerintah Kembali Perpanjang PPKM Mikro
1,Gubernur WH: PPKM Mikro Diperpanjang Sampai Covid-19 Terbirit-Birit - https://t.co/4VMTkKm0tR #ppkmmikro #banten @PemprovBanten @DPRDBANTEN https://t.co/6Uawtg6pg0
"1,""RT @humas_jogja: Berdasarkan Instruksi Gubernur Daerah Istimewa Yogyakarta Nomor: 7/INSTR/2021. diberlakukan perpanjangan PPKM Mikro DIY mulai 9 Maret hingga 22 Maret 2021.  #PPKMMikro #PTKM #JogjaIstimewa #InstruksiGubernur https://t.co/saiXMHz1S9"""
"1,""PPKM Mikro Di Jawa Timur Diperpanjang. Wakapolda Jatim : Masyarakat Harus Tetap Patuhi Prokes | https://t.co/KpsyUtNpIS  #poldajatim #ppkm #ppkmmikro #jawatimur #prokes https://t.co/8tqgIC7FsN"""
"1,""Pantau Posko PPKM Mikro di Purwakarta. Begini Kata Kapolda Jabar 👇 https://t.co/VtTb5FKvEP  #jabarnews #beritalokal #beritahiperlokal #harianjabar #jabartoday #beritajabar #beritajawabara #jawabarat #jabar #patauposko #ppkmmikro #purwakarta #kapoldajabar #polisi https://t.co/AxKVvzF18g"""
1,Klo memang ada trend positif selama ppkm mikro kita harus bersyukur
1,Bupati #Madiun Belum Izinkan Warga Gelar Kegiatan Sosial Budaya – #MadiunInfo #InformasiMadiun #beritamadiun #MadiunNews #kabarMadiun #peristiwamadiun #ppkmmikro #prokes #operasiyustisi #covid19 #sarscov2 #bupati #pemkab #kabupatenmadiun #madiunkab https://t.co/ag0OZfgokk https://t.co/vlTMzJ1gUY
"1,""PPKM Mikro jadi Fokus Pemkab Bulungan Atasi Covid-19. Syarwani: Pemanfaatan Refocusing Anggaran  https://t.co/kwXfqVXSsQ via @Tribun_Kaltara #PPKMMikro #fokus #Pemkab #Bulungan #atasi #Covid19 #Syarwani #Refocusing #Anggaran"""
"1,""RT @humas_jogja: Berdasarkan Instruksi Gubernur Daerah Istimewa Yogyakarta Nomor: 7/INSTR/2021. diberlakukan perpanjangan PPKM Mikro DIY mulai 9 Maret hingga 22 Maret 2021.  #PPKMMikro #PTKM #JogjaIstimewa #InstruksiGubernur https://t.co/saiXMHz1S9"""
1,Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19 #divisihumaspolri #patuhiprokes #AyoJogoBlitar #bebasCovid19 #PPKMMikro https://t.co/YM3sB4c68t
1,Bupati Jombang Tandatangani Perpanjangan PPKM Mikro Tahap Tiga https://t.co/1BaDIH8rDL  #ppkmmikro #Jombang #JawaTimur #Jurnaljatim #Beritaonline #COVID19 #mundjidahwahab
1,RT @arjuna16sp: Pemaparan #GusMenteri tentang #PPKMMikro di Desa pada Rakornas PB 2021. @jokowi @halimiskandarnu @imansyukri @malik_haramain @taufikmadjid71 @yusradaridesa @fachrilabalado @SukoyoKasekpro @Brigade01Arwan1 @Erwin3977 https://t.co/z8WArW8DSM
"1,""""""Kami memperpanjang pembatasan sosial berskala besar melalui PPKM berbasis mikro."""" uckap Bupati Bogor Ade Yasin di Bogor. Selasa (09/03/2021). #Ppkmmikro #PemkabBogor  https://t.co/pxXYICt2H4"""
1,RT @riduwandaddu: Sukseskan PPKM Mikro diperpanjang hingga 22 Maret 2021 #ppkmmikro https://t.co/hAMUn5P96h
"1,""RT @humas_jogja: Berdasarkan Instruksi Gubernur Daerah Istimewa Yogyakarta Nomor: 7/INSTR/2021. diberlakukan perpanjangan PPKM Mikro DIY mulai 9 Maret hingga 22 Maret 2021.  #PPKMMikro #PTKM #JogjaIstimewa #InstruksiGubernur https://t.co/saiXMHz1S9"""
"-1,.""Ayo mana suar buzzer dan orang dekat dg Jokowi. petinggi negeri ini tentang kerumunan dan melanggar protokol kesehatan yg dilakukan oleh jokowi. ayo mana nyinyirnya"""
-1,.Bansos Februari blom cair Gimana nih sistemnya
-1,.duit bansos abis bos??!! blm ditransfer juga udah lewat 1 bulan.PEMERINTAH TUKANG BERAK..!!!!!
"-1,.""Neken terus. klo gak neken mana enak sampe mentok"""
"-1,.""Bencana dimana-mana. bansos salah sasaran . masyarakat kecil nggak dapat bantuan. makin murka tuhanku"""
-1,.Aturan ini lah itu lah. Repot bener. Dia bilang kecewa sm ppkm tapi mobilitas tetap meningkat. Simple sebetulnya. Pake otak yg jernih. Stop atau tutup spbu. Jngn keluarkan atau jual bbm. Sudah. Tamat
-1,.Tinggal bilang PSBB 1 tahun penuh aja gimana? Daripada diberi kepastian g jelas kapan berakhir PSBBnya
-1,.Setahun lalu yg terkena covid19 cuma 3 orang...pake psbb..sekarang jadi 1 juta...piye jal
-1,.Dahulu Jakarta dan sekitarnya mau lockdown .. eh dilarang2 ..Padahal cuman modal 10 triliun buat 2 bulan ..Malah sekarang anggaran covid ratusan triliun ..Dana bansos dikorupsi ..Weleh2
"-1,.""D Bali rakyat menangis ppkm bukan solusi pak.malah menambah beban masyarakat terutama pedagang.. ekonomi sulit malah d batasi untuk mencari uang coba mikir dengan jernih lihat fakta d lapangan jngan lihat data palsu.kasian masyarakat selalu d jadikan korban.klw terus seperti ini nanti bnyak yg berontak jngan salahkan masyarkat nya mereka semua sdah capek ngomong baik"""" gak pernah d tanggapi"""
-1,.Masjid  juga jangan disekat pakai jaga jarak lagi. Lah ! wong pertunjukan musik dan kebudayaan saja boleh
"-1,.""Duh...gimana sih. orang pesta perkawinan aja dibubarin. ini kok diizinkan"""
"-1,.""Zona hijau kakak..yg merah. oranye.kuning tetep gigit jari.. ahh sudahlah.. capek di bohongi"""
-1,.Udh babas om kemaren KLB  demokrat berjalan lancar walaupun Tanpa izin. Banyak lo pesertanya Dan ada yg bekerumun
"-1,.""Gimana mau percaya. orang kerumunan dilarang eh malah ada kaisar yang spontanitas mengundang kerumunan Dahlah.… Politik itu kejam. kekuasaan adalah hal paling keji untuk merusak harkat keadilan"""
"-1,.""Ahirnya Adanya Hanya Pembodohan Generasi Bangsa... kalau Sekolahan. Tdk Di Buka"""
-1,.Imbas dr pemerintah yg gagap dlm penanganan awal pandemi
"-1,.""apa bedanya seberangnya masih bisa dilalui. kebijakan yg absurd dan merugikan banyak pihak terutama pemakai jalan dan warga sekitar yg harus memutar lbh jauh"""
-1,.Parahnya yg jadi warga pendatang yg bekerja dilapis bawah dengar sdh kesampaian makan bubur supaya berasnya bisa di gunakan berhari hari mau pulang kedaerahnya dk punya ongkos bertahan di Bali tetpakasa
"-1,.""Yg miskin makin miskin. yg kaya makin semena. Bikin kebijakan setengah dan penyampaian nya kaya edukasi anak paud"""
-1,.Alangkah baik nya pemangku kepentingan pejabat memikirkan supaya rakyat kecil bisa makan gk resa karena ketakutan gk bisa makan kebijakan yang slalu rakyat mengelu tolong pak pikirkan rakyat
-1,.Sampai PPKM berlanjut terus dan semakin menyusahkan masyarakat sendiri
-1,.Coba aja liat sepanjang jalan dari mampang ke arah pasr minggu .. Trotoar yg di bangun pake uang pajak rakyat yg jumlahnya milyaran .. Hanya jd tmp yg nyaman ..buat .tukang nasi goreng . pecel lele dan parkir liar
"-1,.""Kerjanya ninjau terus. giliran ada yg bermasalah seperti rumah DP 0% bilangnya gak tau??"""
"-1,.""Ko itu ada pengamen ondel2 didiemin. ngamen pake atribut Betawi tuh. dan gaa sedikit byk di lapangan"""
-1,.Yang melapangkan trotoar demi kenyamanan sepihak tapi pihak lain dibuat tak nyaman
"-1,.""Pak gubernur ga ada kah ide lain selain pembatasan pembatasan dan pembatasan??? Udh 1 tahun lo ini. katanya dpet uang bantuan dari pusat nyatanya sampe sini yg muncul aturan pembatasan trus"""
-1,.Hahaha......sakit hati kok bertahun-tahun yak....hahaha.... awas setruk.....haha
"-1,.""Pak Anies. yg miskin yg pnghasilannya UMP apa yg 14jt? Janjinya dulu yg miskin bisa punya rmh. Kok yg UMP yg miskin ttep ngontrak? Tapi anda msih boleh bangga. Tuh wkt bpk antusias boongin warga miskin. Bpk masih mndpt Applaus hebih dr jkt58"""
"-1,.""Saya mohon dengan hormat bapak petugah yang sangat bijaksana .... tolong pabrik garmen itu banyak kerumunan di tutup to pak jangan pilih.. itu orang dari mana.. kumpul jadi satu kok di biarkan ..... jangan yang kecil.. kasihan pak trimakasih"""
-1,.Lanjutkan pak sampai rakyatmu mati kelaparan
-1,.SIAPA YANG PALING BERWENANG DGN MASALAH PEMBODOHAN INI TOLONG JELASKAN BAGI YG MENGERTI
"-1,.""Mereka bilang covid itu konspirasi pemerintah. Mereka ga pake masker katanya aturan Allah aja ga diikutin. ngapain ikutin aturan pemerintah"""
"-1,.""Sudah satu tahun muter2 dengan covid hasilnya bertambah saja berarti covid tidak perlu ditakuti klu sakit berobat sama dokter.tetap patuhi porkes.kegitan masyarakat tetap dibuka seluas2nya"""
-1,.Yg terjadi sekarang itu kejangkitan massal bukan kematian massal.. bkn seperti yg di gembar gemborkan seperti di China orang tiba ambruk dan mati di jalanan
"-1,.""Namanya ppkm mikro. mikro : kecil. Berarti yg kena sasaran rakyat kecil"""
-1,.Jualan dibatasi sampai jam 9 malam.Kenapa garment kalau lembur sampai tengah malam tetep boleh????padahal berkurumun
-1,.pemerintah terlalu berlebihan dalam menangani covid. beritanya lebih berbahaya dan kejam dari virusnya
-1,.Aku lihat di lapangan protokol kesehatan kira patuh cuma 75 persen masih banyak yg abaikan protokol kesehatan
"-1,.""Kalau garmen di buka tolong anak.. kita yang sekolah di masukan lagi kasihan generasi penerus bangsa lo pak anak.. kita itu"""
"-1,.""Kerjanya emang malam kok di razia. dasar koplak sudah gak punya hati nurani"""
"-1,.""Ini udah diganti berapa kali dari mulai psbb. pkpm trus sekarang ganti lagi ppkm mikro trus dari ke 2 hasilnya apa malah bikin rakyat menderita aja boro turun angka positif yg ada malah meningkat"""
-1,.ujung-ujungnya dana bansos diberitakan dikorupsi bahkan dirancang sejak awal pandemi
"-1,.""Terlalu di besar-besarkan. pandemi covid-19 ini… Tidak mikir. orang yang penghasilannya dapat hari ini. untuk di makan besok"""
-1,.Setiap yg sakit.di bilang corona .fimana ga banyak yg d bilang kena.. Pengalaman sendiri
-1,.benar banget tuh.… pemerintah jadikan covid ladang usaha.... yng bikin rakyat kecil mati kelaparan
"-1,.""Sudah tau gagal. malah diterusin :) mau marah tp takut diserang pendukungnya. pasrah aja udah"""
"-1,.""Kasihan masyarakat kecil pak. mareka susah buat makan saja masih sangat bingung. kerjaan nggak ada. semua tutup. kemana mana serba dibatasi. diam dirumah....terus kami makan apa bapak Presiden"""
-1,.Aktivitas masyarakat jangan lah di batasi ....yg kena covid saja di kurung ....biar ekonomi tumbuh kembali berikan kebijakan yg bijaksana biar masyarakat tidak kelaparan Hilangkan ppkm tu
"-1,.""Semakin ppkm semakin meningkat angka covid. berarti nggak ada guna ni ppkm"""
-1,.RT @jpnncom: Tiga provinsi yang tak menjalankan kebijakan PPKM dan PPKM skala mikro menunjukan peningkatan kasus aktif Covid-19. #Ppkmmikro https://t.co/sOhi56lRZA
-1,.Tiga provinsi yang tak menjalankan kebijakan PPKM dan PPKM skala mikro menunjukan peningkatan kasus aktif Covid-19. #Ppkmmikro https://t.co/sOhi56lRZA
-1,.Jam Tutup Usaha Dilonggarkan Jadi Pukul 22.00 Wita https://t.co/HwFdBrSvVI #berita #nusabali #JamMalam #PPKMMikro #pandemi
-1,.RT @IndonesiaBaikId: Hai SohIB! Kebijakan #PPKMMikro akan diperpanjang lho. Cakupannya pun akan diperluas. Mengapa?#IndonesiaBaik #YangMudaSukaData #DailyIssue #Infografis #PPKM #PSBB #COVID19 #KominfoNewsroom @BNPB_Indonesia https://t.co/110aezdisX
-1,.Begini Pesta Ultah Pedangdut Lara Silvi yang Digelar tanpa Pakai Masker dan Berkerumun#protokolkesehatan #melanggarprokes #wajibmasker #tanpamasker #kerumunan #ppkm #ppkmmikro #cafedefins #larasilvi #dangdut #psbb #viruscorona #viruscovid19 #covid19 #coronahttps://t.co/UqwLrJu8oN
"-1,.""Rembang. https://t.co/F73HKt1Ygv – Pemerintah Kabupaten Rembang memberikan izin kepada pelaku wisata untuk beroperasi selama empat hari dalam satu minggu di masa pemberlakuan pembatasankegiatan masyarakat (PPKM) skala mikro. #KabupatenRembang #ppkmmikrohttps://t.co/9NvWMcXO3m https://t.co/YM2qsgyyzz"""
-1,.Restoran-Mall Bisa Buka hingga Pukul 22.00 Wita https://t.co/UdYIp6OBdu #PPKMMikro #berita #nusabali #pandemi #COVID19 #JamMalam
-1,.Hahaha......sakit hati kok bertahun-tahun yak....hahaha.... awas setruk.....haha
-1,.Masih banyak aja orang2 yang berkeliaran #tanpamasker... Wajar kalau #personilmedis sampai #mogokkerja... #INDONESIATERSERAH
-1,.Hahaha......sakit hati kok bertahun-tahun yak....hahaha.... awas setruk.....haha
"-1,.""Dia sering muncul di media dalam berbagai kegiatan kenegaraan #tanpamasker. Mengapa tak pakai masker. Pak? """"Pilihan pribadi"""". Tak ada sangsi. tak ada denda. Siapa sih bapak itu? Dia presiden! Hari ini ada liputan yang memberitakan bahwa ini kali pertama Trump mengenakan masker."""
-1,.Ribuan warga demonstrasi menolak kebijakan lockdown dan protokol kesehatan termasuk menentang pemakaian masker. #TanpaMasker
"-1,.""Langgar Aturan. Tasyakuran Kelahiran Anak Dibubarkan. #wartajateng #langgarppkm #langgarpsbb"""
-1,.Jualan dibatasi sampai jam 9 malam.Kenapa garment kalau lembur sampai tengah malam tetep boleh????padahal berkurumun
"-1,.""Kerjanya ninjau terus. giliran ada yg bermasalah seperti rumah DP 0% bilangnya gak tau??"""
"-1,.""Kerjanya ninjau terus. giliran ada yg bermasalah seperti rumah DP 0% bilangnya gak tau??"""
"-1,.""Kafe RM Langgar PSBB. Bambang Ismadi Sebut Ketiga Kalinya https://fajar.co.id/2021/02/26/kafe-rm-langgar-psbb-bambang-ismadi-sebut-ketiga-kalinya/… #BambangIsmadi #KafeRM #LanggarPSBB"""
"-1,.""Dua kafe di Dago. Kota Bandung disegel tim gugus tugas covid-19 karena melanggar dengan melebihi batas waktu operasional di saat pemberlakuan PSBB untuk memutus mata rantai penularan covid-19. Baca selengkapnya klik https://bit.ly/3cTwaqc #NewsOne #vivanews #LanggarPSBB"""
"-1,.""Langgar PSBB. 101 Perusahaan Ditutup Sementara Ahttp://arahkita.com/news/read/22027/langgar_psbb__101_perusahaan_ditutup_sementara… #BeritaTerkini #BeritaJakarta #Jakarta #PSBB #PSBBJakarta #Perusahaan #LanggarPSBB #Nasional #NewsUpdate #news #Berita #COVID19 #Corona"""
-1,.Ini Sanksi bagi Pelanggar PSBB DKI Jakarta Menurut Pergub 41/2020 https://arahkita.com/news/read/22453/ini_sanksi_bagi_pelanggar_psbb_dki_jakarta_menurut_pergub_41_2020_… #BeritaTerkini #BeritaJakarta #Jakarta #PSBB #PSBBJakarta #PelanggarPSBB #Sanksi #Pergub #GubernurDKI #AniesBaswedan #Nasional #NewsUpdate #news #Berita
-1,.Depok Siapkan Sanksi Pidana bagi Pelanggar PSBB https://arahkita.com/news/read/22277/depok_siapkan_sanksi_pidana_bagi_pelanggar_psbb… #BeritaTerkini #Depok #JawaBarat #PemkotDepok #SanksiPidana #PelanggarPSBB #PSBB #PSBBdepok #COVID19 #CegahCOVID19 #Nasional #NewsUpdate #news #Berita
